statistic,best_team,best_value
misc_cards_red,Liverpool,0.19
misc_cards_yellow,Liverpool,3.69
misc_cards_yellow_red,Liverpool,0.06
misc_crosses,Liverpool,43.75
misc_fouled,Liverpool,20.69
misc_fouls,Liverpool,24.31
misc_interceptions,Liverpool,16.81
misc_minutes_90s,Liverpool,24.3
misc_offsides,Liverpool,3.62
misc_own_goals,Liverpool,0.06
misc_tackles_won,Liverpool,22.5
playing_time_games,Liverpool,31.0
playing_time_games_complete,Liverpool,15.19
playing_time_games_starts,Liverpool,24.81
playing_time_games_subs,Liverpool,6.19
playing_time_minutes,Liverpool,2186.12
playing_time_minutes_90s,Liverpool,24.3
playing_time_minutes_pct,Liverpool,63.93
playing_time_minutes_per_game,Liverpool,70.12
playing_time_minutes_per_start,Liverpool,81.25
playing_time_minutes_per_sub,Liverpool,25.55
playing_time_on_goals_against,Liverpool,25.25
playing_time_on_goals_for,Liverpool,55.0
playing_time_plus_minus,Liverpool,29.75
playing_time_plus_minus_per90,Liverpool,1.15
playing_time_plus_minus_wowy,Liverpool,0.38
playing_time_points_per_game,Liverpool,2.22
playing_time_unused_subs,Liverpool,3.88
shooting_goals,Liverpool,5.25
shooting_goals_per_shot,Liverpool,0.1
shooting_goals_per_shot_on_target,Liverpool,0.28
shooting_minutes_90s,Liverpool,24.3
shooting_pens_att,Liverpool,0.56
shooting_pens_made,Liverpool,0.56
shooting_shots,Liverpool,38.19
shooting_shots_on_target,Liverpool,13.75
shooting_shots_on_target_pct,Liverpool,33.38
shooting_shots_on_target_per90,Liverpool,0.56
shooting_shots_per90,Liverpool,1.59
standard_assists,Liverpool,3.81
standard_assists_per90,Liverpool,0.15
standard_cards_red,Liverpool,0.19
standard_cards_yellow,Liverpool,3.69
standard_games,Liverpool,31.0
standard_games_starts,Liverpool,24.81
standard_goals,Liverpool,5.25
standard_goals_assists,Liverpool,9.06
standard_goals_assists_pens_per90,Liverpool,0.34
standard_goals_assists_per90,Liverpool,0.36
standard_goals_pens,Liverpool,4.69
standard_goals_pens_per90,Liverpool,0.19
standard_goals_per90,Liverpool,0.21
standard_minutes,Liverpool,2186.12
standard_minutes_90s,Liverpool,24.3
standard_pens_att,Liverpool,0.56
standard_pens_made,Liverpool,0.56
